uzytkownik,budzet,cel,czestotliwosc,teren,doswiadczenie,pogoda,dystans,rower
kobieta,1500,rekreacja,kilka razy w tygodniu,miasto,średniozaawansowany,słoneczna,5,Rower miejski damski GREEN S Retro 3
kobieta,10000,dojazdy,raz w tygodniu,miasto,średniozaawansowany,deszczowa,10,Rower miejski damski GREEN S Retro 3
kobieta,1500,dojazdy,codziennie,miasto,średniozaawansowany,każda,30,Rower miejski damski GREEN S Retro 3
kobieta,1000,sport,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,30,Rower miejski damski GREEN S Retro 3
kobieta,1000,rekreacja,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,słoneczna,10,Rower miejski damski GREEN S Retro 3
kobieta,3000,turystyka,kilka razy w tygodniu,teren mieszany,średniozaawansowany,każda,10,Rower miejski damski ROMET Pop Art Classic
kobieta,3000,rekreacja,codziennie,ścieżki rowerowe,zaawansowany,każda,5,Rower trekkingowy R-RAYMON TourRay 1.0
mężczyzna,7000,rekreacja,codziennie,ścieżki rowerowe,średniozaawansowany,słoneczna,20,Rower miejski EMBASSY California Man
mężczyzna,4000,dojazdy,codziennie,teren mieszany,początkujący,słoneczna,30,Rower miejski EMBASSY California Man
mężczyzna,2000,rekreacja,codziennie,teren mieszany,średniozaawansowany,dobra,30,Rower miejski EMBASSY California Man
kobieta,5000,turystyka,raz w tygodniu,góry,średniozaawansowany,deszczowa,5,Rower miejski damski EMBASSY Retro Lady
kobieta,10000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,30,Rower miejski damski ROMET Art Deco Lux
kobieta,10000,dojazdy,codziennie,ścieżki rowerowe,średniozaawansowany,deszczowa,30,Rower miejski damski ROMET Art Deco Lux
kobieta,3000,turystyka,codziennie,góry,średniozaawansowany,słoneczna,50,Rower MTB GIANT Talon 5 29
mężczyzna,5000,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,słoneczna,10,Rower miejski R-RAYMON UrbanRay 1.0 Gent
kobieta,5000,rekreacja,codziennie,góry,początkujący,każda,10,Rower trekkingowy damski R-RAYMON TourRay 2.0 Lady
kobieta,7000,rekreacja,codziennie,miasto,średniozaawansowany,dobra,30,Rower miejski damski EMBASSY Classic Lady
mężczyzna,10000,turystyka,codziennie,miasto,początkujący,słoneczna,20,Rower szosowy FELT VR 60
kobieta,3000,dojazdy,raz w tygodniu,teren mieszany,średniozaawansowany,dobra,20,Rower szosowy FELT VR 60
kobieta,1500,dojazdy,kilka razy w tygodniu,teren mieszany,zaawansowany,deszczowa,5,Rower szosowy FELT VR 60 Claris
mężczyzna,1500,turystyka,kilka razy w tygodniu,miasto,początkujący,słoneczna,50,Rower miejski R-RAYMON CityRay 2.0 CB
kobieta,7000,turystyka,raz w tygodniu,góry,początkujący,deszczowa,10,Rower trekkingowy R-RAYMON TourRay 3.0
kobieta,4000,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,30,Rower trekkingowy R-RAYMON TourRay 3.0
mężczyzna,4000,rekreacja,codziennie,teren mieszany,średniozaawansowany,każda,50,Rower MTB GIANT Talon 2-GE
kobieta,7000,turystyka,codziennie,teren mieszany,średniozaawansowany,słoneczna,50,Rower MTB GIANT Talon 0 29
mężczyzna,1500,turystyka,raz w tygodniu,teren mieszany,początkujący,deszczowa,20,Rower miejski R-RAYMON CityRay 4.0 CB
mężczyzna,10000,rekreacja,kilka razy w tygodniu,teren mieszany,zaawansowany,słoneczna,50,Rower miejski R-RAYMON UrbanRay 3.0 Gent
mężczyzna,10000,rekreacja,kilka razy w tygodniu,góry,średniozaawansowany,słoneczna,30,Rower miejski R-RAYMON UrbanRay 3.0 Gent
kobieta,2000,dojazdy,raz w tygodniu,miasto,początkujący,słoneczna,5,Rower MTB GASGAS TR8
mężczyzna,5000,turystyka,raz w tygodniu,miasto,zaawansowany,każda,50,Rower szosowy FELT FR Advanced 105 Di2
kobieta,3000,turystyka,kilka razy w tygodniu,miasto,zaawansowany,słoneczna,5,Rower szosowy BASSO Astra Ultegra Di2 RE38
kobieta,5000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,każda,20,Rower crossowy damski OXFELD CR-4W
kobieta,3000,turystyka,raz w tygodniu,góry,początkujący,słoneczna,5,Rower crossowy OXFELD CR-4
mężczyzna,3000,rekreacja,raz w tygodniu,góry,średniozaawansowany,deszczowa,50,Rower crossowy SUPERIOR RX 510
mężczyzna,5000,turystyka,raz w tygodniu,góry,zaawansowany,słoneczna,30,Rower miejski R-RAYMON UrbanRay 2.0 Gent
kobieta,2000,turystyka,raz w tygodniu,miasto,zaawansowany,dobra,50,Rower crossowy GIANT Roam 4 Disc
kobieta,7000,sport,kilka razy w tygodniu,miasto,początkujący,słoneczna,10,Rower crossowy GIANT Roam 4 Disc
